"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"22.11.2021","100,4000","100,4150","100,4150","100,4000","-0,05%"
"19.11.2021","100,4500","100,3550","100,4900","100,3550","0,15%"
"18.11.2021","100,3000","100,3400","100,4150","100,2950","0,06%"
"17.11.2021","100,2400","100,2350","100,3850","100,2350","-0,05%"
"16.11.2021","100,2900","100,2750","100,3400","100,2250","0,02%"
"15.11.2021","100,2700","100,2800","100,3150","100,2600","0,16%"
"12.11.2021","100,1100","100,0900","100,2800","100,0900","-0,07%"
"11.11.2021","100,1800","100,1700","100,1950","100,1600","0,05%"
"10.11.2021","100,1300","100,1350","100,1500","100,0850","0,12%"
"09.11.2021","100,0100","100,0100","100,1200","99,9815","0,00%"
"08.11.2021","100,0100","99,9045","100,0850","99,9045","0,17%"
"05.11.2021","99,8430","99,9150","99,9650","99,8900","-0,01%"
"04.11.2021","99,8500","99,8725","99,9750","99,8675","0,04%"
"03.11.2021","99,8100","99,8255","99,9200","99,8230","0,05%"
"02.11.2021","99,7600","99,7950","99,8755","99,7450","0,05%"
"01.11.2021","99,7100","99,6410","99,8550","99,6410","0,09%"
"29.10.2021","99,6200","99,6055","99,7350","99,5955","-0,06%"
"28.10.2021","99,6800","99,6055","99,7250","99,6055","0,04%"
"27.10.2021","99,6400","99,5090","99,6500","99,5090","0,10%"
"26.10.2021","99,5400","99,4470","99,5550","99,4470","0,16%"
"25.10.2021","99,3810","99,3670","99,5150","99,3670","0,09%"
"22.10.2021","99,2940","99,3500","99,4150","99,3035","0,02%"